"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2001 HJ31)","2119-2119","1","5.2e-9","11.51","23.6","0.063","-7.94","-7.94","0","bK01H31J"
"(2017 YD2)","2062-2062","1","6.9e-7","8.50","28.7","0.006","-7.94","-7.94","0","bK17Y02D"
"(2016 GF1)","2111-2111","1","8.6e-8","7.18","26.0","0.021","-7.95","-7.95","0","bK16G01F"
"(2018 FY2)","2093-2093","1","2.1e-8","19.77","25.7","0.024","-7.95","-7.95","0","bK18F02Y"
"(2021 LC3)","2065-2089","2","6.3e-8","10.28","26.6","0.016","-7.95","-7.95","0","bK21L03C"
"(2021 NB)","2092-2092","1","1.6e-7","8.84","26.9","0.014","-7.95","-7.95","0","bK21N00B"
"(2018 TS6)","2104-2115","5","8.7e-7","7.34","28.2","0.008","-7.95","-8.18","0","bK18T06S"
"(2015 SK7)","2059-2100","3","9.2e-7","12.17","28.8","0.006","-7.95","-8.26","0","bK15S07K"
"(2021 GM1)","2121-2121","3","1.6e-5","0.65","30.4","0.003","-7.95","-8.10","0","bK21G01M"
"(2017 YM14)","2071-2074","4","1.5e-7","18.38","27.7","0.010","-7.95","-7.98","0","bK17Y14M"
"(2020 CA)","2116-2116","8","3.0e-6","13.18","29.6","0.004","-7.96","-8.35","0","bK20C00A"
"(2021 XV4)","2090-2103","6","5.0e-7","20.15","28.6","0.007","-7.96","-8.44","0","bK21X04V"
"(2020 XK1)","2070-2121","44","1.1e-5","5.83","30.6","0.003","-7.97","-8.53","0","bK20X01K"
"(2014 UY57)","2079-2111","5","2.1e-7","8.93","27.2","0.012","-7.97","-8.36","0","bK14U57Y"
"(2020 SL6)","2108-2108","1","3.7e-7","14.20","27.9","0.009","-7.98","-7.98","0","bK20S06L"
"(2017 BF136)","2034-2081","9","1.0e-8","20.89","26.1","0.020","-7.98","-8.61","0","bK17BD6F"
"(2020 FM1)","2089-2121","9","3.0e-6","7.08","29.3","0.005","-7.99","-8.52","0","bK20F01M"
"(2017 BE30)","2100-2100","1","4.5e-8","16.69","26.3","0.019","-8.00","-8.00","0","bK17B30E"
"(2004 WC1)","2117-2117","1","1.1e-7","5.98","26.2","0.019","-8.00","-8.00","0","bK04W01C"
"(2018 EL4)","2120-2120","1","4.0e-8","5.60","25.3","0.030","-8.00","-8.00","0","bK18E04L"
"(2016 GS134)","2070-2116","6","2.2e-7","11.01","27.8","0.010","-8.02","-8.06","0","bK16GD4S"
"(2019 YL3)","2047-2047","1","1.1e-7","9.99","27.7","0.010","-8.02","-8.02","0","bK19Y03L"
"(2022 GL)","2070-2121","4","1.9e-6","7.02","29.5","0.004","-8.02","-8.02","0","bK22G00L"
